Source,Text,Date,Compound,Positive,Neutral,Negative
@BBCWorld,RT @ksjslawyer: report about this you cowards #WeWantJusticeForBangladesh #WeWantJustice #helpbangladeshistudents @CNN @cnnbrk @UNICEF @NBC…,Sun Aug 05 03:34:56 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @UNeverArmyAlone: @ilsansqueen @ABC @BBC @CBNoficial @Reuters @BBCWorld @BBC @BBCNews @BBCBreaking @cnnbrk @CNN @cnni @CNNPR @AlJazeera…,Sun Aug 05 03:34:52 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @MirzaFariha1: @BBCWorld #BBC #CNN #AlJazeera #StopRoadAccidents #SafeRoadsForAll #WeWantJustice #BBC #CNN #SkyNews #CCBM #AlJazeera #Te…,Sun Aug 05 03:34:51 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @BBCWorld: Bangladesh #RoadSafety protests bring Dhaka to standstill

https://t.co/aCugXlnBu2 #WeWantJustice https://t.co/OgdBNZhJ03",Sun Aug 05 03:34:48 +0000 2018,-0.2263,0.0,0.853,0.147
@BBCWorld,Plz help @BBCBreaking @BBCWorld @timesofindia @ndtv 🙏 spread this news🙏 https://t.co/U9kBH41h0r,Sun Aug 05 03:34:47 +0000 2018,0.4588,0.333,0.667,0.0
@BBCWorld,RT @youngqueentxt: #WeDemandJustice @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes @AB…,Sun Aug 05 03:34:45 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @MalihaHaider3: #WeWantJustice Please help us. We are very helpless our isn't doing anything please please help us. Many girls are being…,Sun Aug 05 03:34:45 +0000 2018,0.1238,0.249,0.518,0.233
@BBCWorld,RT @kookminvasion: Everyone needs to know what the situation is in Bangladesh. An anon sent me this. The government and the media has been…,Sun Aug 05 03:34:43 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:34:43 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,"RT @caRMelmochiTae: Please ARMYs help us spread this,Students are dying on the streets,our govt. is killing us..plz RT this and tag all the…",Sun Aug 05 03:34:40 +0000 2018,-0.1027,0.17,0.68,0.15
